,Pos,Age,Starts,Player,urls,scouting_url,position_group
5,"MF,FW",21.0,32,Giacomo Raspadori,https://fbref.com/en/players/6e058f06/Giacomo-Raspadori,https://fbref.com/en/players/6e058f06/scout/365_euro/Giacomo-Raspadori-Scouting-Report,Attacking Midfielders
6,DF,31.0,27,Vlad Chiriches,https://fbref.com/en/players/c316607a/Vlad-Chiriches,https://fbref.com/en/players/c316607a/scout/365_euro/Vlad-Chiriches-Scouting-Report,Defender
7,FW,22.0,25,Gianluca Scamacca,https://fbref.com/en/players/8790f988/Gianluca-Scamacca,https://fbref.com/en/players/8790f988/scout/365_euro/Gianluca-Scamacca-Scouting-Report,Forwards
8,DF,22.0,24,Mert Muldur,https://fbref.com/en/players/1295552e/Mert-Muldur,https://fbref.com/en/players/1295552e/scout/365_euro/Mert-Muldur-Scouting-Report,Defender
9,"DF,FW",25.0,22,Giorgos Kyriakopoulos,https://fbref.com/en/players/0a483542/Giorgos-Kyriakopoulos,https://fbref.com/en/players/0a483542/scout/365_euro/Giorgos-Kyriakopoulos-Scouting-Report,Wing-Back
10,"FW,MF",21.0,21,Hamed Junior Traore,https://fbref.com/en/players/570bb4b9/Hamed-Junior-Traore,https://fbref.com/en/players/570bb4b9/scout/365_euro/Hamed-Junior-Traore-Scouting-Report,Attacking Midfielders
11,DF,23.0,19,Rogerio,https://fbref.com/en/players/10e7f486/Rogerio,https://fbref.com/en/players/10e7f486/scout/365_euro/Rogerio-Scouting-Report,Defender
12,DF,26.0,15,Jeremy Toljan,https://fbref.com/en/players/a96e5dc0/Jeremy-Toljan,https://fbref.com/en/players/a96e5dc0/scout/365_euro/Jeremy-Toljan-Scouting-Report,Defender
13,DF,26.0,14,Kaan Ayhan,https://fbref.com/en/players/2200181e/Kaan-Ayhan,https://fbref.com/en/players/2200181e/scout/365_euro/Kaan-Ayhan-Scouting-Report,Defender
14,FW,30.0,11,Gregoire Defrel,https://fbref.com/en/players/854ee61a/Gregoire-Defrel,https://fbref.com/en/players/854ee61a/scout/365_euro/Gregoire-Defrel-Scouting-Report,Forwards
15,MF,23.0,10,Matheus Henrique,https://fbref.com/en/players/a2d9f138/Matheus-Henrique,https://fbref.com/en/players/a2d9f138/scout/365_euro/Matheus-Henrique-Scouting-Report,Central Midfielders
16,"MF,FW",29.0,9,Filip Djuricic,https://fbref.com/en/players/eccbe56a/Filip-Djuricic,https://fbref.com/en/players/eccbe56a/scout/365_euro/Filip-Djuricic-Scouting-Report,Attacking Midfielders
17,"FW,MF",24.0,8,Jeremie Boga,https://fbref.com/en/players/fe012aca/Jeremie-Boga,https://fbref.com/en/players/fe012aca/scout/365_euro/Jeremie-Boga-Scouting-Report,Attacking Midfielders
18,MF,23.0,3,Abdou Harroui,https://fbref.com/en/players/65fd099c/Abdou-Harroui,https://fbref.com/en/players/65fd099c/scout/365_euro/Abdou-Harroui-Scouting-Report,Central Midfielders
19,MF,36.0,2,Francesco Magnanelli,https://fbref.com/en/players/07767f42/Francesco-Magnanelli,https://fbref.com/en/players/07767f42/scout/365_euro/Francesco-Magnanelli-Scouting-Report,Central Midfielders
20,FW,33.0,2,Francesco Caputo,https://fbref.com/en/players/5bd72174/Francesco-Caputo,https://fbref.com/en/players/5bd72174/scout/365_euro/Francesco-Caputo-Scouting-Report,Forwards
21,GK,40.0,1,Gianluca Pegolo,https://fbref.com/en/players/f058ed1f/Gianluca-Pegolo,https://fbref.com/en/players/f058ed1f/scout/365_euro/Gianluca-Pegolo-Scouting-Report,GK
22,DF,22.0,0,Ruan,https://fbref.com/en/players/a378a02a/Ruan,https://fbref.com/en/players/a378a02a/scout/365_euro/Ruan-Scouting-Report,Defender
23,"FW,DF",19.0,0,Emil Ceide,https://fbref.com/en/players/98a84572/Emil-Ceide,https://fbref.com/en/players/98a84572/scout/365_euro/Emil-Ceide-Scouting-Report,Wing-Back
24,DF,37.0,0,Federico Peluso,https://fbref.com/en/players/4f2908e5/Federico-Peluso,https://fbref.com/en/players/4f2908e5/scout/365_euro/Federico-Peluso-Scouting-Report,Defender
25,GK,22.0,0,Giacomo Satalino,https://fbref.com/en/players/b1f0b916/Giacomo-Satalino,https://fbref.com/en/players/b1f0b916/scout/365_euro/Giacomo-Satalino-Scouting-Report,GK
26,FW,18.0,0,Brain Oddei,https://fbref.com/en/players/97e8ea97/Brain-Oddei,https://fbref.com/en/players/97e8ea97/scout/365_euro/Brain-Oddei-Scouting-Report,Forwards
27,FW,19.0,0,Luigi Samele,https://fbref.com/en/players/548fea2f/Luigi-Samele,https://fbref.com/en/players/548fea2f/scout/365_euro/Luigi-Samele-Scouting-Report,Forwards
28,"MF,DF",27.0,0,Edoardo Goldaniga,https://fbref.com/en/players/4b029b31/Edoardo-Goldaniga,https://fbref.com/en/players/4b029b31/scout/365_euro/Edoardo-Goldaniga-Scouting-Report,Defensive-Midfielders
29,MF,18.0,0,Salim Abubakar,https://fbref.com/en/players/686ee768/Salim-Abubakar,https://fbref.com/en/players/686ee768/scout/365_euro/Salim-Abubakar-Scouting-Report,Central Midfielders
30,MF,19.0,0,Christian Aucelli,https://fbref.com/en/players/4adb8714/Christian-Aucelli,https://fbref.com/en/players/4adb8714/scout/365_euro/Christian-Aucelli-Scouting-Report,Central Midfielders
31,FW,19.0,0,Riccardo Ciervo,https://fbref.com/en/players/da77b60b/Riccardo-Ciervo,https://fbref.com/en/players/da77b60b/scout/365_euro/Riccardo-Ciervo-Scouting-Report,Forwards
32,"FW,MF",25.0,0,Lukas Haraslin,https://fbref.com/en/players/5c397195/Lukas-Haraslin,https://fbref.com/en/players/5c397195/scout/365_euro/Lukas-Haraslin-Scouting-Report,Attacking Midfielders
33,MF,17.0,0,Justin Kumi,https://fbref.com/en/players/2d5f2ff0/Justin-Kumi,https://fbref.com/en/players/2d5f2ff0/scout/365_euro/Justin-Kumi-Scouting-Report,Central Midfielders
34,MF,17.0,0,Asan Mata,https://fbref.com/en/players/d26824b0/Asan-Mata,https://fbref.com/en/players/d26824b0/scout/365_euro/Asan-Mata-Scouting-Report,Central Midfielders
35,DF,19.0,0,Yeferson Paz,https://fbref.com/en/players/b1d7dba8/Yeferson-Paz,https://fbref.com/en/players/b1d7dba8/scout/365_euro/Yeferson-Paz-Scouting-Report,Defender
36,DF,18.0,0,Edoardo Pieragnolo,https://fbref.com/en/players/ae67e0c4/Edoardo-Pieragnolo,https://fbref.com/en/players/ae67e0c4/scout/365_euro/Edoardo-Pieragnolo-Scouting-Report,Defender
37,DF,24.0,0,Filippo Romagna,https://fbref.com/en/players/84594618/Filippo-Romagna,https://fbref.com/en/players/84594618/scout/365_euro/Filippo-Romagna-Scouting-Report,Defender
38,GK,18.0,0,Samuele Vitale,https://fbref.com/en/players/675476ac/Samuele-Vitale,https://fbref.com/en/players/675476ac/scout/365_euro/Samuele-Vitale-Scouting-Report,GK
39,GK,18.0,0,Gioele Zacchi,https://fbref.com/en/players/8aa135ca/Gioele-Zacchi,https://fbref.com/en/players/8aa135ca/scout/365_euro/Gioele-Zacchi-Scouting-Report,GK
0,MF,24.0,34,Sasa Lukic,https://fbref.com/en/players/c6e8cf1f/Sasa-Lukic,https://fbref.com/en/players/c6e8cf1f/scout/365_euro/Sasa-Lukic-Scouting-Report,Central Midfielders
1,DF,24.0,33,Gleison Bremer,https://fbref.com/en/players/5fd5ed86/Gleison-Bremer,https://fbref.com/en/players/5fd5ed86/scout/365_euro/Gleison-Bremer-Scouting-Report,Defender
2,DF,20.0,32,Wilfried Singo,https://fbref.com/en/players/8b609c34/Wilfried-Singo,https://fbref.com/en/players/8b609c34/scout/365_euro/Wilfried-Singo-Scouting-Report,Defender
3,DF,28.0,28,Ricardo Rodriguez,https://fbref.com/en/players/7f78ad23/Ricardo-Rodriguez,https://fbref.com/en/players/7f78ad23/scout/365_euro/Ricardo-Rodriguez-Scouting-Report,Defender
4,GK,24.0,27,Vanja Milinkovic Savic,https://fbref.com/en/players/9fa26bc2/Vanja-Milinkovic-Savic,https://fbref.com/en/players/9fa26bc2/scout/365_euro/Vanja-Milinkovic-Savic-Scouting-Report,GK
5,"FW,MF",23.0,26,Josip Brekalo,https://fbref.com/en/players/d4a2533d/Josip-Brekalo,https://fbref.com/en/players/d4a2533d/scout/365_euro/Josip-Brekalo-Scouting-Report,Attacking Midfielders
6,MF,22.0,24,Tommaso Pobega,https://fbref.com/en/players/55a1cac2/Tommaso-Pobega,https://fbref.com/en/players/55a1cac2/scout/365_euro/Tommaso-Pobega-Scouting-Report,Central Midfielders
7,DF,26.0,22,Mergim Vojvoda,https://fbref.com/en/players/be2706c0/Mergim-Vojvoda,https://fbref.com/en/players/be2706c0/scout/365_euro/Mergim-Vojvoda-Scouting-Report,Defender
8,FW,25.0,22,Antonio Sanabria,https://fbref.com/en/players/0a447501/Antonio-Sanabria,https://fbref.com/en/players/0a447501/scout/365_euro/Antonio-Sanabria-Scouting-Report,Forwards
9,DF,28.0,21,Koffi Djidji,https://fbref.com/en/players/933d3b51/Koffi-Djidji,https://fbref.com/en/players/933d3b51/scout/365_euro/Koffi-Djidji-Scouting-Report,Defender
10,"FW,MF",27.0,17,Dennis Praet,https://fbref.com/en/players/86695068/Dennis-Praet,https://fbref.com/en/players/86695068/scout/365_euro/Dennis-Praet-Scouting-Report,Attacking Midfielders
11,DF,24.0,17,Ola Aina,https://fbref.com/en/players/246d153b/Ola-Aina,https://fbref.com/en/players/246d153b/scout/365_euro/Ola-Aina-Scouting-Report,Defender
12,FW,27.0,16,Andrea Belotti,https://fbref.com/en/players/d705ba44/Andrea-Belotti,https://fbref.com/en/players/d705ba44/scout/365_euro/Andrea-Belotti-Scouting-Report,Forwards
13,MF,24.0,16,Rolando Mandragora,https://fbref.com/en/players/c7259b83/Rolando-Mandragora,https://fbref.com/en/players/c7259b83/scout/365_euro/Rolando-Mandragora-Scouting-Report,Central Midfielders
14,DF,20.0,13,David Zima,https://fbref.com/en/players/acf7e795/David-Zima,https://fbref.com/en/players/acf7e795/scout/365_euro/David-Zima-Scouting-Report,Defender
15,"MF,FW",26.0,13,Marko Pjaca,https://fbref.com/en/players/2c38b327/Marko-Pjaca,https://fbref.com/en/players/2c38b327/scout/365_euro/Marko-Pjaca-Scouting-Report,Attacking Midfielders
16,DF,22.0,12,Alessandro Buongiorno,https://fbref.com/en/players/4ae67f27/Alessandro-Buongiorno,https://fbref.com/en/players/4ae67f27/scout/365_euro/Alessandro-Buongiorno-Scouting-Report,Defender
17,"MF,FW",26.0,11,Karol Linetty,https://fbref.com/en/players/d023d70f/Karol-Linetty,https://fbref.com/en/players/d023d70f/scout/365_euro/Karol-Linetty-Scouting-Report,Attacking Midfielders
18,GK,32.0,10,Etrit Berisha,https://fbref.com/en/players/ee833569/Etrit-Berisha,https://fbref.com/en/players/ee833569/scout/365_euro/Etrit-Berisha-Scouting-Report,GK
19,MF,19.0,9,Samuele Ricci,https://fbref.com/en/players/9823be92/Samuele-Ricci,https://fbref.com/en/players/9823be92/scout/365_euro/Samuele-Ricci-Scouting-Report,Central Midfielders
20,DF,29.0,6,Armando Izzo,https://fbref.com/en/players/89976232/Armando-Izzo,https://fbref.com/en/players/89976232/scout/365_euro/Armando-Izzo-Scouting-Report,Defender
21,DF,34.0,5,Cristian Ansaldi,https://fbref.com/en/players/bbafc0c4/Cristian-Ansaldi,https://fbref.com/en/players/bbafc0c4/scout/365_euro/Cristian-Ansaldi-Scouting-Report,Defender
22,FW,20.0,1,Pietro Pellegri,https://fbref.com/en/players/a44d3a3c/Pietro-Pellegri,https://fbref.com/en/players/a44d3a3c/scout/365_euro/Pietro-Pellegri-Scouting-Report,Forwards
23,"MF,FW",33.0,1,Tomas Rincon,https://fbref.com/en/players/f1cfc209/Tomas-Rincon,https://fbref.com/en/players/f1cfc209/scout/365_euro/Tomas-Rincon-Scouting-Report,Attacking Midfielders
24,"FW,MF",20.0,1,Demba Seck,https://fbref.com/en/players/16463a79/Demba-Seck,https://fbref.com/en/players/16463a79/scout/365_euro/Demba-Seck-Scouting-Report,Attacking Midfielders
25,GK,21.0,1,Luca Gemello,https://fbref.com/en/players/53e494ec/Luca-Gemello,https://fbref.com/en/players/53e494ec/scout/365_euro/Luca-Gemello-Scouting-Report,GK
26,"MF,FW",29.0,0,Daniele Baselli,https://fbref.com/en/players/ea06dd97/Daniele-Baselli,https://fbref.com/en/players/ea06dd97/scout/365_euro/Daniele-Baselli-Scouting-Report,Attacking Midfielders
27,"FW,MF",30.0,0,Simone Zaza,https://fbref.com/en/players/9592289a/Simone-Zaza,https://fbref.com/en/players/9592289a/scout/365_euro/Simone-Zaza-Scouting-Report,Attacking Midfielders
28,MF,21.0,0,Ben Lhassine Kone,https://fbref.com/en/players/7452c7a8/Ben-Lhassine-Kone,https://fbref.com/en/players/7452c7a8/scout/365_euro/Ben-Lhassine-Kone-Scouting-Report,Central Midfielders
29,"FW,DF",21.0,0,Magnus Warming,https://fbref.com/en/players/55e098cd/Magnus-Warming,https://fbref.com/en/players/55e098cd/scout/365_euro/Magnus-Warming-Scouting-Report,Wing-Back
30,"FW,MF",29.0,0,Simone Verdi,https://fbref.com/en/players/0375723e/Simone-Verdi,https://fbref.com/en/players/0375723e/scout/365_euro/Simone-Verdi-Scouting-Report,Attacking Midfielders
31,DF,17.0,0,Samuele Angori,https://fbref.com/en/players/9ee1d39e/Samuele-Angori,https://fbref.com/en/players/9ee1d39e/scout/365_euro/Samuele-Angori-Scouting-Report,Defender
32,DF,17.0,0,Andrei Anton,https://fbref.com/en/players/4455a8f0/Andrei-Anton,https://fbref.com/en/players/4455a8f0/scout/365_euro/Andrei-Anton-Scouting-Report,Defender
33,MF,24.0,0,Simone Edera,https://fbref.com/en/players/8697c095/Simone-Edera,https://fbref.com/en/players/8697c095/scout/365_euro/Simone-Edera-Scouting-Report,Central Midfielders
34,"DF,FW",25.0,0,Mohamed Fares,https://fbref.com/en/players/b7a5bc86/Mohamed-Fares,https://fbref.com/en/players/b7a5bc86/scout/365_euro/Mohamed-Fares-Scouting-Report,Wing-Back
35,MF,19.0,0,Matt Garbett,https://fbref.com/en/players/dece7370/Matt-Garbett,https://fbref.com/en/players/dece7370/scout/365_euro/Matt-Garbett-Scouting-Report,Central Midfielders
36,GK,18.0,0,Alberto Milan,https://fbref.com/en/players/259e5f54/Alberto-Milan,https://fbref.com/en/players/259e5f54/scout/365_euro/Alberto-Milan-Scouting-Report,GK
37,FW,21.0,0,Nicola Rauti,https://fbref.com/en/players/f1d5e1f9/Nicola-Rauti,https://fbref.com/en/players/f1d5e1f9/scout/365_euro/Nicola-Rauti-Scouting-Report,Forwards
38,MF,24.0,0,Jacopo Segre,https://fbref.com/en/players/3cb132e6/Jacopo-Segre,https://fbref.com/en/players/3cb132e6/scout/365_euro/Jacopo-Segre-Scouting-Report,Central Midfielders
39,FW,18.0,0,Denis Stojkovic,https://fbref.com/en/players/a8274176/Denis-Stojkovic,https://fbref.com/en/players/a8274176/scout/365_euro/Denis-Stojkovic-Scouting-Report,Forwards
0,"MF,FW",34.0,36,Antonio Candreva,https://fbref.com/en/players/356c9002/Antonio-Candreva,https://fbref.com/en/players/356c9002/scout/365_euro/Antonio-Candreva-Scouting-Report,Attacking Midfielders
1,DF,29.0,35,Bartosz Bereszynski,https://fbref.com/en/players/61b3978f/Bartosz-Bereszynski,https://fbref.com/en/players/61b3978f/scout/365_euro/Bartosz-Bereszynski-Scouting-Report,Defender
2,MF,25.0,35,Morten Thorsby,https://fbref.com/en/players/d1b49282/Morten-Thorsby,https://fbref.com/en/players/d1b49282/scout/365_euro/Morten-Thorsby-Scouting-Report,Central Midfielders
3,FW,33.0,31,Francesco Caputo,https://fbref.com/en/players/5bd72174/Francesco-Caputo,https://fbref.com/en/players/5bd72174/scout/365_euro/Francesco-Caputo-Scouting-Report,Forwards
4,DF,28.0,31,Omar Colley,https://fbref.com/en/players/8b95acda/Omar-Colley,https://fbref.com/en/players/8b95acda/scout/365_euro/Omar-Colley-Scouting-Report,Defender
5,GK,24.0,29,Emil Audero,https://fbref.com/en/players/649b01d8/Emil-Audero,https://fbref.com/en/players/649b01d8/scout/365_euro/Emil-Audero-Scouting-Report,GK
6,DF,26.0,25,Tommaso Augello,https://fbref.com/en/players/3cd3b384/Tommaso-Augello,https://fbref.com/en/players/3cd3b384/scout/365_euro/Tommaso-Augello-Scouting-Report,Defender
7,DF,27.0,20,Alex Ferrari,https://fbref.com/en/players/d0dbca9f/Alex-Ferrari,https://fbref.com/en/players/d0dbca9f/scout/365_euro/Alex-Ferrari-Scouting-Report,Defender
8,DF,32.0,19,Maya Yoshida,https://fbref.com/en/players/caffaf5a/Maya-Yoshida,https://fbref.com/en/players/caffaf5a/scout/365_euro/Maya-Yoshida-Scouting-Report,Defender
9,FW,38.0,19,Fabio Quagliarella,https://fbref.com/en/players/ee4f2f3b/Fabio-Quagliarella,https://fbref.com/en/players/ee4f2f3b/scout/365_euro/Fabio-Quagliarella-Scouting-Report,Forwards
10,MF,32.0,19,Albin Ekdal,https://fbref.com/en/players/f503ea63/Albin-Ekdal,https://fbref.com/en/players/f503ea63/scout/365_euro/Albin-Ekdal-Scouting-Report,Central Midfielders
11,"FW,MF",29.0,15,Manolo Gabbiadini,https://fbref.com/en/players/8f866fe8/Manolo-Gabbiadini,https://fbref.com/en/players/8f866fe8/scout/365_euro/Manolo-Gabbiadini-Scouting-Report,Attacking Midfielders
12,MF,33.0,13,Tomas Rincon,https://fbref.com/en/players/f1cfc209/Tomas-Rincon,https://fbref.com/en/players/f1cfc209/scout/365_euro/Tomas-Rincon-Scouting-Report,Central Midfielders
13,DF,26.0,13,Nicola Murru,https://fbref.com/en/players/d183e9d6/Nicola-Murru,https://fbref.com/en/players/d183e9d6/scout/365_euro/Nicola-Murru-Scouting-Report,Defender
14,MF,32.0,12,Adrien Silva,https://fbref.com/en/players/d6f88a1d/Adrien-Silva,https://fbref.com/en/players/d6f88a1d/scout/365_euro/Adrien-Silva-Scouting-Report,Central Midfielders
15,MF,25.0,10,Stefano Sensi,https://fbref.com/en/players/b70bde8f/Stefano-Sensi,https://fbref.com/en/players/b70bde8f/scout/365_euro/Stefano-Sensi-Scouting-Report,Central Midfielders
16,"MF,FW",24.0,9,Abdelhamid Sabiri,https://fbref.com/en/players/4830e0af/Abdelhamid-Sabiri,https://fbref.com/en/players/4830e0af/scout/365_euro/Abdelhamid-Sabiri-Scouting-Report,Attacking Midfielders
17,GK,26.0,9,Wladimiro Falcone,https://fbref.com/en/players/9f5a610b/Wladimiro-Falcone,https://fbref.com/en/players/9f5a610b/scout/365_euro/Wladimiro-Falcone-Scouting-Report,GK
18,MF,20.0,7,Kristoffer Askildsen,https://fbref.com/en/players/a69cc629/Kristoffer-Askildsen,https://fbref.com/en/players/a69cc629/scout/365_euro/Kristoffer-Askildsen-Scouting-Report,Central Midfielders
19,"MF,FW",21.0,6,Mikkel Damsgaard,https://fbref.com/en/players/215f3907/Mikkel-Damsgaard,https://fbref.com/en/players/215f3907/scout/365_euro/Mikkel-Damsgaard-Scouting-Report,Attacking Midfielders
20,"MF,FW",27.0,6,Valerio Verre,https://fbref.com/en/players/33ecf462/Valerio-Verre,https://fbref.com/en/players/33ecf462/scout/365_euro/Valerio-Verre-Scouting-Report,Attacking Midfielders
21,DF,19.0,4,Radu Dragusin,https://fbref.com/en/players/620922ed/Radu-Dragusin,https://fbref.com/en/players/620922ed/scout/365_euro/Radu-Dragusin-Scouting-Report,Defender
22,MF,23.0,4,Ronaldo Vieira,https://fbref.com/en/players/75e60d75/Ronaldo-Vieira,https://fbref.com/en/players/75e60d75/scout/365_euro/Ronaldo-Vieira-Scouting-Report,Central Midfielders
23,DF,23.0,4,Julian Chabot,https://fbref.com/en/players/ae7058f9/Julian-Chabot,https://fbref.com/en/players/ae7058f9/scout/365_euro/Julian-Chabot-Scouting-Report,Defender
24,DF,25.0,3,Giangiacomo Magnani,https://fbref.com/en/players/cce9f582/Giangiacomo-Magnani,https://fbref.com/en/players/cce9f582/scout/365_euro/Giangiacomo-Magnani-Scouting-Report,Defender
25,"DF,MF",27.0,2,Andrea Conti,https://fbref.com/en/players/8fef5412/Andrea-Conti,https://fbref.com/en/players/8fef5412/scout/365_euro/Andrea-Conti-Scouting-Report,Defender
26,"MF,DF",19.0,1,Riccardo Ciervo,https://fbref.com/en/players/da77b60b/Riccardo-Ciervo,https://fbref.com/en/players/da77b60b/scout/365_euro/Riccardo-Ciervo-Scouting-Report,Defensive-Midfielders
27,"MF,DF",24.0,1,Fabio Depaoli,https://fbref.com/en/players/d97f2e8d/Fabio-Depaoli,https://fbref.com/en/players/d97f2e8d/scout/365_euro/Fabio-Depaoli-Scouting-Report,Defensive-Midfielders
28,FW,29.0,0,Ernesto Torregrossa,https://fbref.com/en/players/bf39bdec/Ernesto-Torregrossa,https://fbref.com/en/players/bf39bdec/scout/365_euro/Ernesto-Torregrossa-Scouting-Report,Forwards
29,MF,19.0,0,Simone Trimboli,https://fbref.com/en/players/f5f21026/Simone-Trimboli,https://fbref.com/en/players/f5f21026/scout/365_euro/Simone-Trimboli-Scouting-Report,Central Midfielders
30,MF,34.0,0,Sebastian Giovinco,https://fbref.com/en/players/2b7c18ae/Sebastian-Giovinco,https://fbref.com/en/players/2b7c18ae/scout/365_euro/Sebastian-Giovinco-Scouting-Report,Central Midfielders
31,FW,21.0,0,Vladyslav Supriaha,https://fbref.com/en/players/73affbb6/Vladyslav-Supriaha,https://fbref.com/en/players/73affbb6/scout/365_euro/Vladyslav-Supriaha-Scouting-Report,Forwards
32,"MF,DF",18.0,0,Gerard Yepes,https://fbref.com/en/players/ee9040b4/Gerard-Yepes,https://fbref.com/en/players/ee9040b4/scout/365_euro/Gerard-Yepes-Scouting-Report,Defensive-Midfielders
33,GK,32.0,0,Nicola Ravaglia,https://fbref.com/en/players/d7a35008/Nicola-Ravaglia,https://fbref.com/en/players/d7a35008/scout/365_euro/Nicola-Ravaglia-Scouting-Report,GK
34,DF,18.0,0,Giovanni Bonfanti,https://fbref.com/en/players/938d8a55/Giovanni-Bonfanti,https://fbref.com/en/players/938d8a55/scout/365_euro/Giovanni-Bonfanti-Scouting-Report,Defender
35,FW,18.0,0,Lorenzo Di Stefano,https://fbref.com/en/players/418c774c/Lorenzo-Di-Stefano,https://fbref.com/en/players/418c774c/scout/365_euro/Lorenzo-Di-Stefano-Scouting-Report,Forwards
36,MF,19.0,0,Mohammed Ihattaren,https://fbref.com/en/players/86878265/Mohammed-Ihattaren,https://fbref.com/en/players/86878265/scout/365_euro/Mohammed-Ihattaren-Scouting-Report,Central Midfielders
37,DF,18.0,0,Francesco Migliardi,https://fbref.com/en/players/47ea9421/Francesco-Migliardi,https://fbref.com/en/players/47ea9421/scout/365_euro/Francesco-Migliardi-Scouting-Report,Defender
